method,n_genes,time_sec,n_sig_fdr1,n_sig_fdr5,n_sig_fdr10,n_sig_lfc0.5,n_sig_lfc1,p_median,p_mean,p_lt_0.05,lfc_median,dataset,is_null,n_dv_fdr5,n_dv_fdr10,dv_p_median,dv_p_lt_0.05,n_dd_fdr5,n_dd_fdr10,n_score_fdr5,n_score_fdr10,score_median,n_true_de,n_true_dv,TP_de_fdr5,FP_de_fdr5,prec_de,recall_de,F1_de,TP_dv_fdr5,FP_dv_fdr5,prec_dv,recall_dv,F1_dv,n_post_de_0.5,n_post_de_0.8,n_post_deonly_0.8,n_post_de_call,n_de_fdr_call,n_post_dv_0.8,n_post_dvonly_0.8,n_post_dv_call,n_dv_fdr_call,n_post_dg_0.8,n_post_dgonly_0.8,n_post_dg_call,n_dg_fdr_call,prior_de_used,prior_dv_used,prior_dv_upper,prior_dg_used,post_de_threshold,post_dv_threshold,post_dg_threshold,post_de_realized_fdr,post_dv_realized_fdr,post_dg_realized_fdr,n_dv_model_raw_fdr5,n_dv_model_fdr5,n_dv_bf_fdr5,n_dv_mix_fdr5,TP_de_post08,FP_de_post08,prec_de_post08,recall_de_post08,F1_de_post08
NEBULA,20059,1237.86,,540,893,,,0.38359831171101,,,0.435885300540933,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEBULA,24989,955.0,,43,86,,,0.45284707130129,,,0.424557856774417,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEBULA,11944,5295.42,,10387,10620,,,6.4170071693037215e-19,,,0.721770583824022,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGCB,5303,12.92,,0,0,,,0.55762773965322,,,0.426370512372225,jakel,False,0.0,,,,135.0,,106.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,206.0,167.0,0.0100641337894129,0.0100659823692272,0.1,0.0430542959676271,1.000000000001,1.000000000001,0.399143791592322,0.0,0.0,0.0994552593059032,89.0,11.0,0.0,0.0,,,,,
SGCB,10385,145.03,,3124,3863,,,0.12109386510167,,,0.306305862368542,kang18,False,7.0,,,,22.0,,1719.0,,,,,,,,,,,,,,,1040.0,658.0,621.0,874.0,3863.0,9.0,0.0,13.0,8.0,49.0,31.0,60.0,25.0,0.219724939823646,0.0100659823692272,0.1,0.0100641337894129,0.622361558531952,0.752487769295525,0.518150515172849,0.0998502691751432,0.0947513923579573,0.0952695233103899,4194.0,398.0,7.0,215.0,,,,,
SGCB,10518,166.75,,0,0,,,0.508807314324062,,,0.184584753258795,muscat_sim,False,1.0,,,,16.0,,15.0,,,1670.0,,0.0,0.0,0.0,0.0,0.0,,,,,,32.0,14.0,14.0,19.0,0.0,4.0,3.0,5.0,2.0,37.0,36.0,47.0,21.0,0.0122600930089964,0.0100659823692272,0.1,0.0100641337894129,0.686310089660925,0.778837032989972,0.536646865727806,0.0979621455029371,0.0924886731207506,0.0968162361874243,649.0,24.0,2.0,11.0,0.0,14.0,0.0,0.0,0.0
SGCB,19315,199.68,,0,0,,,0.522330256171118,,,0.379749445078589,segerstolpe,False,0.0,,,,469.0,,151.0,,,,,,,,,,,,,,,18.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,575.0,566.0,684.0,586.0,0.0100641337894129,0.0100659823692272,0.1,0.0482225919016719,0.738068485071722,1.000000000001,0.368260508450479,0.0868802668359889,0.0,0.0993149265430745,10.0,0.0,0.0,0.0,,,,,
SGCB,21684,315.06,,1,3,,,0.429229395142941,,,0.472847216640692,xin,False,0.0,,,,38.0,,33.0,,,,,,,,,,,,,,,128.0,42.0,40.0,39.0,3.0,0.0,0.0,0.0,0.0,60.0,58.0,82.0,159.0,0.0553132054622802,0.0100659823692272,0.1,0.0100641337894129,0.81758885245745,1.000000000001,0.612437978894165,0.0982623685186158,0.0,0.0973581532832296,3.0,0.0,0.0,0.0,,,,,
SGCB,23288,314.33,,8487,10393,,,0.0740743602115553,,,0.718189244316362,zilionis,False,0.0,,,,26.0,,4277.0,,,,,,,,,,,,,,,1265.0,378.0,360.0,426.0,10393.0,0.0,0.0,0.0,0.0,45.0,5.0,55.0,29.0,0.290924219898101,0.0100659823692272,0.1,0.0100641337894129,0.771729309135947,1.000000000001,0.446851072211504,0.0997253679606451,0.0,0.0949084553296167,0.0,0.0,0.0,0.0,,,,,
Seurat,5303,8.6,,0,0,,,0.515088228729758,,,0.523546244485815,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seurat,35635,7.36,,0,0,,,0.958121926577743,,,0.0027240971469786,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seurat,11207,6.33,,0,0,,,0.563523716477718,,,0.068139990833902,muscat_sim,False,,,,,,,,,,1578.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seurat,26179,11.39,,0,0,,,0.594032340599042,,,0.572501749067476,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seurat,39851,7.2,,0,0,,,0.576989203042437,,,0.994130737536969,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seurat,41861,7.31,,0,0,,,0.283976771750912,,,0.233333669883092,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregateBioVar,5303,76.8,,1,1,,,0.624340196226163,,,0.337996500790937,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aggregateBioVar,35635,35.19,,3317,3961,,,0.945988202855389,,,0.0440353827242416,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
