scenario,variant,n_per_group,mean_F1,mean_deFDR,mean_deNA,mean_dvRec,mean_dvFPR,mean_dgRec,mean_dgFPR,mean_deSig,mean_dvSig,mean_dgSig,mean_time,n_ok,delta_F1,delta_deFDR,delta_dvRec,delta_dvFPR,delta_dgRec,delta_dgFPR,delta_deNA,time_ratio
mean_shift,base,5,0.194525881458731,0.0417140330933434,0,,0,,0,50.3333333333333,0,0,3.616841395696,3,0,0,,0,,0,0,1
mean_shift,no_natural_grad,5,0.194525881458731,0.0417140330933434,0,,0,,0,50.3333333333333,0,0,3.2504096031189,3,0,0,,0,,0,0,0.898687348299774
mean_shift,no_hierarchical,5,0.194525881458731,0.0417140330933434,0,,0,,0,50.3333333333333,0,0,3.19424200057983,3,0,0,,0,,0,0,0.883157885878253
mean_shift,no_firth,5,0.194525881458731,0.0417140330933434,0,,0,,0,50.3333333333333,0,0,3.2601060072581,3,0,0,,0,,0,0,0.901368252182023
mean_shift,no_gamma_submodel,5,0.194525881458731,0.0417140330933434,0,,0,,0.019946512007026,50.3333333333333,0,87,5.21201928456624,3,0,0,,0,,0.019946512007026,0,1.44104170306403
mean_shift,no_gg_variance,5,0.194525881458731,0.0417140330933434,0,,0,,0,50.3333333333333,0,0,4.12110002835592,3,0,0,,0,,0,0,1.13941961437954
mean_shift,base,10,0.634842298856763,0.0316701369221524,0,,7.41070105231955e-05,,0.000297321296237481,221.666666666667,0.333333333333333,1.33333333333333,9.69145901997884,3,0,0,,0,,0,0,1
mean_shift,no_natural_grad,10,0.634842298856763,0.0316701369221524,0,,7.41070105231955e-05,,0.000221579140541358,221.666666666667,0.333333333333333,1,7.66167442003886,3,0,0,,0,,-7.57421556961232e-05,0,0.79055944045622
mean_shift,no_hierarchical,10,0.634842298856763,0.0316701369221524,0,,7.41070105231955e-05,,0,221.666666666667,0.333333333333333,0,7.01563334465027,3,0,0,,0,,-0.000297321296237481,0,0.723898571947486
mean_shift,no_firth,10,0.634842298856763,0.0316701369221524,0,,7.41070105231955e-05,,0.000443158281082716,221.666666666667,0.333333333333333,2,7.86878196398417,3,0,0,,0,,0.000145836984845235,0,0.811929550314639
mean_shift,no_gamma_submodel,10,0.634842298856763,0.0316701369221524,0,,7.41070105231955e-05,,0.000297321296237481,221.666666666667,0.333333333333333,1.33333333333333,8.74153733253479,3,0,0,,0,,0,0,0.901983624396925
mean_shift,no_gg_variance,10,0.634842298856763,0.0316701369221524,0,,7.41070105231955e-05,,0.000297321296237481,221.666666666667,0.333333333333333,1.33333333333333,8.4235413869222,3,0,0,,0,,0,0,0.869171645833425
stress,base,3,,0,0,,0,,0,0,0,0,1.82924739519755,0,,0,,0,,0,0,1
stress,no_natural_grad,3,,0,0,,0,,0,0,0,0,1.71750473976135,0,,0,,0,,0,0,0.938913317176472
stress,no_hierarchical,3,,0,0,,0,,0,0,0,0,1.67013597488403,0,,0,,0,,0,0,0.91301809655094
stress,no_firth,3,,0,0,,0,,0,0,0,0,2.10088499387105,0,,0,,0,,0,0,1.14849691703082
stress,no_gamma_submodel,3,,0,0,,0,,0.00106147015243528,0,0,1.66666666666667,2.61438504854838,0,,0,,0,,0.00106147015243528,0,1.42921348714893
stress,no_gg_variance,3,,0,0,,0,,0,0,0,0,1.87269822756449,0,,0,,0,,0,0,1.02375339305171
shape_shift,base,10,,0.333333333333333,0,0.638942675681806,0.0067841902774102,0,0.000310221808593144,0.333333333333333,365.666666666667,0.666666666666667,6.66051435470581,0,,0,0,0,0,0,0,1
shape_shift,no_natural_grad,10,,0.333333333333333,0,0.641375846375846,0.00632083911928783,0,0,0.333333333333333,366,0,6.47102292378744,0,,0,0.00243317069404025,-0.000463351158122374,0,-0.000310221808593144,0,0.971550030399004
shape_shift,no_hierarchical,10,,0.333333333333333,0,0.642590163459729,0.00694258558121389,0,0,0.333333333333333,368,0,4.92304801940918,0,,0,0.00364748777792256,0.000158395303803689,0,-0.000310221808593144,0,0.739139315258878
shape_shift,no_firth,10,,0.333333333333333,0,0.637111173850304,0.00631755471978071,0,0.000307805972245877,0.333333333333333,363.666666666667,0.666666666666667,5.88960266113281,0,,0,-0.00183150183150183,-0.000466635557629491,0,-2.4158363472668e-06,0,0.884256432383735
shape_shift,no_gamma_submodel,10,,0.333333333333333,0,0.638942675681806,0.0067841902774102,0,0.000310221808593144,0.333333333333333,365.666666666667,0.666666666666667,5.56744694709778,0,,0,0,0,0,0,0,0.835888439030875
shape_shift,no_gg_variance,10,,0.333333333333333,0,0.638942675681806,0.0067841902774102,0,0.000310221808593144,0.333333333333333,365.666666666667,0.666666666666667,5.8958519299825,0,,0,0,0,0,0,0,0.885194688577909
