method,n_features,time_sec,n_sig_fdr1,n_sig_fdr5,n_sig_fdr10,n_sig_lfc0.5,n_sig_lfc1,p_median,p_mean,p_lt_0.05,lfc_median,dataset,is_null,n_dv_fdr5,n_dv_fdr10,dv_p_median,n_dd_fdr5,n_dd_fdr10,n_score_fdr5,n_score_fdr10,score_median,n_spike,TP_fdr5,FP_fdr5,precision_fdr5,recall_fdr5,F1_fdr5,n_true_de,n_true_dv,sim_TP_de,sim_FP_de,sim_prec_de,sim_recall_de,sim_F1_de,sim_TP_dv,sim_FP_dv,sim_prec_dv,sim_recall_dv,sim_F1_dv,n_post_de_0.8,n_post_deonly_0.8,n_post_de_call,n_de_fdr_call,n_post_dv_call,n_dv_fdr_call,prior_de_used,prior_dv_used,prior_dv_upper,post_de_threshold,post_dv_threshold,post_de_realized_fdr,post_dv_realized_fdr,precision,recall,F1,sim_TP_de_post08,sim_FP_de_post08,sim_prec_de_post08,sim_recall_de_post08,sim_F1_de_post08
dv_GAMLSS,1470,23.66,,30,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0667,0.0476,0.0556,,,,,
dv_GAMLSS,1489,35.28,,0,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
dv_GAMLSS,1277,18.83,,46,,,,,,,,sim_proteomics,FALSE,,,,,,,,,192,7,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1522,0.0365,0.0588,,,,,
dv_GAMLSS,9580,125.47,,4,,,,,,,,tmt_mir,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,1253,0.83,,0,,,,,,,,cptac,FALSE,,,,,,,,,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,
limma,800,0.57,,8,,,,,,,,cptac_ups1,FALSE,,,,,,,,,11,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.6364,0.7368,,,,,
limma,5022,0.8,,3160,,,,,,,,ecoli_lfq,FALSE,,,,,,,,,1564,1395,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4415,0.8919,0.5906,,,,,
limma,82,0.28,,0,,,,,,,,obrien_3species,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,1470,0.39,,90,,,,,,,,sgsds_ratio2.5,FALSE,,,,,,,,,42,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4667,1,0.6364,,,,,
limma,1489,0.39,,43,,,,,,,,sgsds_ratio2,FALSE,,,,,,,,,34,34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7907,1,0.8831,,,,,
