dataset,group_label,n_genes,median_ks_gg,median_ks_gamma,median_ks_lognorm,frac_best_aic_gg,frac_best_bic_gg,median_delta_aic_gamma_vs_gg,median_delta_aic_lognorm_vs_gg
TCGA_BRCA,normal,19719,0.0846140667047269,0.095883527850143,0.0909003865389877,0.0803793295806075,0.054870936660074,-1.98885704658801,-4.64599255460075
TCGA_BRCA,tumor,19719,0.0772524386802209,0.106120036482262,0.0759415191158189,0.0127288402048785,0.00451341345910036,2.15688898675649,-5.40759705904111
GTEx_Liver,split_A,44262,0.137881909168672,0.134211946024996,0.156173624784872,0.174009308210203,0.14854728661154,-2.32743894013072,-2.81709953799952
GTEx_Liver,split_B,44262,0.134853622559636,0.141362960962404,0.158736869107233,0.168248158691428,0.140685011974154,-2.32965518159006,-3.05834150967047
